Time,avF
0.0,-1.164
0.001997602876548142,-1.163
0.003995205753096284,-1.159
0.005992808629644426,-1.161
0.007990411506192568,-1.163
0.00998801438274071,-1.167
0.011985617259288851,-1.167
0.013983220135836994,-1.165
0.015980823012385136,-1.165
0.017978425888933277,-1.164
0.01997602876548142,-1.163
0.021973631642029562,-1.162
0.023971234518577703,-1.159
0.025968837395125847,-1.163
0.027966440271673988,-1.163
0.02996404314822213,-1.159
0.03196164602477027,-1.16
0.03395924890131841,-1.157
0.035956851777866554,-1.157
0.0379544546544147,-1.153
0.03995205753096284,-1.151
0.04194966040751098,-1.155
0.043947263284059124,-1.155
0.045944866160607264,-1.155
0.047942469037155405,-1.154
0.04994007191370355,-1.149
0.051937674790251694,-1.149
0.053935277666799834,-1.15
0.055932880543347975,-1.149
0.057930483419896116,-1.15
0.05992808629644426,-1.149
0.061925689172992404,-1.149
0.06392329204954054,-1.152
0.06592089492608869,-1.153
0.06791849780263683,-1.151
0.06991610067918497,-1.151
0.07191370355573311,-1.147
0.07391130643228125,-1.146
0.0759089093088294,-1.141
0.07790651218537754,-1.133
0.07990411506192568,-1.132
0.08190171793847383,-1.131
0.08389932081502197,-1.133
0.0858969236915701,-1.133
0.08789452656811825,-1.123
0.08989212944466639,-1.12
0.09188973232121453,-1.127
0.09388733519776267,-1.131
0.09588493807431081,-1.125
0.09788254095085897,-1.12
0.0998801438274071,-1.123
0.10187774670395525,-1.129
0.10387534958050339,-1.125
0.10587295245705153,-1.121
0.10787055533359967,-1.121
0.10986815821014781,-1.121
0.11186576108669595,-1.123
0.11386336396324409,-1.121
0.11586096683979223,-1.115
0.11785856971634039,-1.113
0.11985617259288853,-1.111
0.12185377546943667,-1.111
0.12385137834598481,-1.113
0.12584898122253294,-1.111
0.1278465840990811,-1.107
0.12984418697562924,-1.103
0.13184178985217737,-1.105
0.13383939272872553,-1.103
0.13583699560527365,-1.103
0.1378345984818218,-1.102
0.13983220135836993,-1.099
0.1418298042349181,-1.096
0.14382740711146622,-1.093
0.14582500998801437,-1.091
0.1478226128645625,-1.09
0.14982021574111065,-1.089
0.1518178186176588,-1.085
0.15381542149420693,-1.088
0.1558130243707551,-1.085
0.15781062724730321,-1.075
0.15980823012385137,-1.071
0.1618058330003995,-1.069
0.16380343587694765,-1.066
0.16580103875349578,-1.067
0.16779864163004393,-1.062
0.16979624450659206,-1.056
0.1717938473831402,-1.054
0.17379145025968837,-1.049
0.1757890531362365,-1.045
0.17778665601278465,-1.042
0.17978425888933278,-1.041
0.18178186176588093,-1.036
0.18377946464242906,-1.026
0.1857770675189772,-1.022
0.18777467039552534,-1.02
0.1897722732720735,-1.015
0.19176987614862162,-1.013
0.19376747902516978,-1.012
0.19576508190171793,-1.005
0.19776268477826606,-1.0
0.1997602876548142,-1.0
0.20175789053136234,-0.992
0.2037554934079105,-0.986
0.20575309628445862,-0.984
0.20775069916100677,-0.981
0.2097483020375549,-0.978
0.21174590491410306,-0.974
0.2137435077906512,-0.969
0.21574111066719934,-0.965
0.2177387135437475,-0.962
0.21973631642029562,-0.959
0.22173391929684377,-0.959
0.2237315221733919,-0.955
0.22572912504994005,-0.95
0.22772672792648818,-0.945
0.22972433080303634,-0.939
0.23172193367958446,-0.938
0.23371953655613262,-0.934
0.23571713943268077,-0.932
0.2377147423092289,-0.928
0.23971234518577705,-0.925
0.24170994806232518,-0.927
0.24370755093887334,-0.922
0.24570515381542146,-0.92
0.24770275669196962,-0.919
0.24970035956851774,-0.915
0.25169796244506587,-0.909
0.253695565321614,-0.9
0.2556931681981622,-0.901
0.25769077107471033,-0.901
0.2596883739512585,-0.895
0.2616859768278066,-0.899
0.26368357970435474,-0.897
0.2656811825809029,-0.89
0.26767878545745105,-0.89
0.26967638833399915,-0.887
0.2716739912105473,-0.882
0.27367159408709546,-0.877
0.2756691969636436,-0.875
0.27766679984019177,-0.873
0.27966440271673987,-0.87
0.281662005593288,-0.868
0.2836596084698362,-0.868
0.28565721134638433,-0.865
0.28765481422293243,-0.862
0.2896524170994806,-0.867
0.29165001997602874,-0.867
0.2936476228525769,-0.867
0.295645225729125,-0.868
0.29764282860567315,-0.871
0.2996404314822213,-0.876
0.30163803435876946,-0.875
0.3036356372353176,-0.878
0.3056332401118657,-0.883
0.30763084298841387,-0.886
0.309628445864962,-0.893
0.3116260487415102,-0.897
0.3136236516180583,-0.901
0.31562125449460643,-0.906
0.3176188573711546,-0.909
0.31961646024770274,-0.914
0.3216140631242509,-0.917
0.323611666000799,-0.923
0.32560926887734715,-0.934
0.3276068717538953,-0.942
0.32960447463044346,-0.946
0.33160207750699155,-0.949
0.3335996803835397,-0.954
0.33559728326008786,-0.961
0.337594886136636,-0.966
0.3395924890131841,-0.974
0.3415900918897323,-0.981
0.3435876947662804,-0.985
0.3455852976428286,-0.99
0.34758290051937674,-0.991
0.34958050339592484,-0.994
0.351578106272473,-1.0
0.35357570914902114,-1.007
0.3555733120255693,-1.012
0.3575709149021174,-1.015
0.35956851777866555,-1.02
0.3615661206552137,-1.022
0.36356372353176186,-1.025
0.36556132640831,-1.03
0.3675589292848581,-1.032
0.36955653216140627,-1.035
0.3715541350379544,-1.042
0.3735517379145026,-1.044
0.3755493407910507,-1.049
0.37754694366759883,-1.052
0.379544546544147,-1.052
0.38154214942069514,-1.058
0.38353975229724324,-1.063
0.3855373551737914,-1.066
0.38753495805033955,-1.069
0.3895325609268877,-1.071
0.39153016380343586,-1.074
0.39352776667998396,-1.076
0.3955253695565321,-1.077
0.39752297243308027,-1.08
0.3995205753096284,-1.081
0.4015181781861765,-1.087
0.4035157810627247,-1.091
0.40551338393927283,-1.089
0.407510986815821,-1.093
0.40950858969236914,-1.091
0.41150619256891724,-1.089
0.4135037954454654,-1.089
0.41550139832201355,-1.092
0.4174990011985617,-1.095
0.4194966040751098,-1.096
0.42149420695165796,-1.101
0.4234918098282061,-1.103
0.42548941270475427,-1.101
0.4274870155813024,-1.103
0.4294846184578505,-1.104
0.4314822213343987,-1.103
0.43347982421094683,-1.101
0.435477427087495,-1.103
0.4374750299640431,-1.104
0.43947263284059124,-1.105
0.4414702357171394,-1.109
0.44346783859368755,-1.111
0.44546544147023565,-1.11
0.4474630443467838,-1.111
0.44946064722333195,-1.111
0.4514582500998801,-1.109
0.45345585297642826,-1.109
0.45545345585297636,-1.113
0.4574510587295245,-1.111
0.4594486616060727,-1.108
0.4614462644826208,-1.109
0.4634438673591689,-1.109
0.4654414702357171,-1.111
0.46743907311226524,-1.114
0.4694366759888134,-1.119
0.47143427886536154,-1.119
0.47343188174190964,-1.115
0.4754294846184578,-1.114
0.47742708749500595,-1.111
0.4794246903715541,-1.107
0.4814222932481022,-1.109
0.48341989612465036,-1.111
0.4854174990011985,-1.113
0.48741510187774667,-1.115
0.48941270475429477,-1.114
0.4914103076308429,-1.111
0.4934079105073911,-1.111
0.49540551338393923,-1.114
0.4974031162604874,-1.115
0.4994007191370355,-1.113
0.5013983220135837,-1.112
0.5033959248901317,-1.111
0.5053935277666799,-1.111
0.507391130643228,-1.116
0.5093887335197762,-1.117
0.5113863363963244,-1.113
0.5133839392728725,-1.114
0.5153815421494207,-1.114
0.5173791450259688,-1.109
0.519376747902517,-1.109
0.521374350779065,-1.107
0.5233719536556132,-1.107
0.5253695565321613,-1.109
0.5273671594087095,-1.109
0.5293647622852576,-1.111
0.5313623651618058,-1.111
0.533359968038354,-1.113
0.5353575709149021,-1.112
0.5373551737914503,-1.111
0.5393527766679983,-1.114
0.5413503795445465,-1.118
0.5433479824210946,-1.117
0.5453455852976428,-1.114
0.5473431881741909,-1.115
0.5493407910507391,-1.113
0.5513383939272872,-1.113
0.5533359968038354,-1.115
0.5553335996803835,-1.112
0.5573312025569316,-1.109
