Time,II
0.0,-1.149
0.001997602876548142,-1.149
0.003995205753096284,-1.145
0.005992808629644426,-1.147
0.007990411506192568,-1.149
0.00998801438274071,-1.15
0.011985617259288851,-1.151
0.013983220135836994,-1.147
0.015980823012385136,-1.148
0.017978425888933277,-1.148
0.01997602876548142,-1.146
0.021973631642029562,-1.145
0.023971234518577703,-1.143
0.025968837395125847,-1.145
0.027966440271673988,-1.144
0.02996404314822213,-1.141
0.03196164602477027,-1.141
0.03395924890131841,-1.137
0.035956851777866554,-1.135
0.0379544546544147,-1.131
0.03995205753096284,-1.131
0.04194966040751098,-1.135
0.043947263284059124,-1.135
0.045944866160607264,-1.136
0.047942469037155405,-1.137
0.04994007191370355,-1.128
0.051937674790251694,-1.127
0.053935277666799834,-1.129
0.055932880543347975,-1.129
0.057930483419896116,-1.131
0.05992808629644426,-1.131
0.061925689172992404,-1.131
0.06392329204954054,-1.133
0.06592089492608869,-1.135
0.06791849780263683,-1.133
0.06991610067918497,-1.131
0.07191370355573311,-1.13
0.07391130643228125,-1.128
0.0759089093088294,-1.124
0.07790651218537754,-1.116
0.07990411506192568,-1.115
0.08190171793847383,-1.112
0.08389932081502197,-1.113
0.0858969236915701,-1.113
0.08789452656811825,-1.104
0.08989212944466639,-1.101
0.09188973232121453,-1.107
0.09388733519776267,-1.111
0.09588493807431081,-1.104
0.09788254095085897,-1.097
0.0998801438274071,-1.1
0.10187774670395525,-1.109
0.10387534958050339,-1.105
0.10587295245705153,-1.097
0.10787055533359967,-1.097
0.10986815821014781,-1.097
0.11186576108669595,-1.1
0.11386336396324409,-1.098
0.11586096683979223,-1.091
0.11785856971634039,-1.089
0.11985617259288853,-1.087
0.12185377546943667,-1.087
0.12385137834598481,-1.087
0.12584898122253294,-1.084
0.1278465840990811,-1.079
0.12984418697562924,-1.075
0.13184178985217737,-1.077
0.13383939272872553,-1.074
0.13583699560527365,-1.073
0.1378345984818218,-1.07
0.13983220135836993,-1.069
0.1418298042349181,-1.067
0.14382740711146622,-1.063
0.14582500998801437,-1.058
0.1478226128645625,-1.055
0.14982021574111065,-1.055
0.1518178186176588,-1.051
0.15381542149420693,-1.054
0.1558130243707551,-1.051
0.15781062724730321,-1.038
0.15980823012385137,-1.034
0.1618058330003995,-1.03
0.16380343587694765,-1.026
0.16580103875349578,-1.029
0.16779864163004393,-1.027
0.16979624450659206,-1.02
0.1717938473831402,-1.016
0.17379145025968837,-1.01
0.1757890531362365,-1.004
0.17778665601278465,-1.001
0.17978425888933278,-1.001
0.18178186176588093,-0.997
0.18377946464242906,-0.985
0.1857770675189772,-0.978
0.18777467039552534,-0.976
0.1897722732720735,-0.969
0.19176987614862162,-0.966
0.19376747902516978,-0.965
0.19576508190171793,-0.959
