Time,avL
0.0,0.606
0.001997602876548142,0.604
0.003995205753096284,0.603
0.005992808629644426,0.602
0.007990411506192568,0.605
0.00998801438274071,0.609
0.011985617259288851,0.61
0.013983220135836994,0.61
0.015980823012385136,0.609
0.017978425888933277,0.606
0.01997602876548142,0.606
0.021973631642029562,0.608
0.023971234518577703,0.605
0.025968837395125847,0.608
0.027966440271673988,0.609
0.02996404314822213,0.607
0.03196164602477027,0.609
0.03395924890131841,0.608
0.035956851777866554,0.611
0.0379544546544147,0.61
0.03995205753096284,0.608
0.04194966040751098,0.609
0.043947263284059124,0.608
0.045944866160607264,0.607
0.047942469037155405,0.604
0.04994007191370355,0.606
0.051937674790251694,0.606
0.053935277666799834,0.606
0.055932880543347975,0.604
0.057930483419896116,0.603
0.05992808629644426,0.603
0.061925689172992404,0.602
0.06392329204954054,0.604
0.06592089492608869,0.603
0.06791849780263683,0.605
0.06991610067918497,0.604
0.07191370355573311,0.6
0.07391130643228125,0.6
0.0759089093088294,0.597
0.07790651218537754,0.594
0.07990411506192568,0.592
0.08190171793847383,0.594
0.08389932081502197,0.597
0.0858969236915701,0.596
0.08789452656811825,0.592
0.08989212944466639,0.589
0.09188973232121453,0.594
0.09388733519776267,0.597
0.09588493807431081,0.595
0.09788254095085897,0.595
0.0998801438274071,0.595
0.10187774670395525,0.594
0.10387534958050339,0.593
0.10587295245705153,0.597
0.10787055533359967,0.598
0.10986815821014781,0.597
0.11186576108669595,0.597
0.11386336396324409,0.594
0.11586096683979223,0.592
0.11785856971634039,0.592
0.11985617259288853,0.592
0.12185377546943667,0.594
0.12385137834598481,0.596
0.12584898122253294,0.595
0.1278465840990811,0.597
0.12984418697562924,0.595
0.13184178985217737,0.595
0.13383939272872553,0.596
0.13583699560527365,0.597
0.1378345984818218,0.599
0.13983220135836993,0.596
0.1418298042349181,0.592
0.14382740711146622,0.591
0.14582500998801437,0.596
0.1478226128645625,0.598
0.14982021574111065,0.596
0.1518178186176588,0.595
0.15381542149420693,0.595
0.1558130243707551,0.594
0.15781062724730321,0.591
0.15980823012385137,0.591
0.1618058330003995,0.592
0.16380343587694765,0.593
0.16580103875349578,0.59
0.16779864163004393,0.585
0.16979624450659206,0.582
0.1717938473831402,0.583
0.17379145025968837,0.584
0.1757890531362365,0.586
0.17778665601278465,0.584
0.17978425888933278,0.581
0.18178186176588093,0.578
0.18377946464242906,0.577
0.1857770675189772,0.579
0.18777467039552534,0.578
0.1897722732720735,0.577
0.19176987614862162,0.577
0.19376747902516978,0.576
0.19576508190171793,0.572
0.19776268477826606,0.573
0.1997602876548142,0.574
0.20175789053136234,0.568
0.2037554934079105,0.565
0.20575309628445862,0.567
0.20775069916100677,0.566
0.2097483020375549,0.566
0.21174590491410306,0.562
0.2137435077906512,0.561
0.21574111066719934,0.561
0.2177387135437475,0.559
0.21973631642029562,0.557
0.22173391929684377,0.556
0.2237315221733919,0.557
0.22572912504994005,0.559
0.22772672792648818,0.557
0.22972433080303634,0.552
0.23172193367958446,0.552
0.23371953655613262,0.552
0.23571713943268077,0.552
0.2377147423092289,0.551
0.23971234518577705,0.551
0.24170994806232518,0.551
0.24370755093887334,0.545
0.24570515381542146,0.542
0.24770275669196962,0.541
0.24970035956851774,0.541
0.25169796244506587,0.538
0.253695565321614,0.532
0.2556931681981622,0.533
0.25769077107471033,0.531
0.2596883739512585,0.531
0.2616859768278066,0.535
0.26368357970435474,0.534
0.2656811825809029,0.533
0.26767878545745105,0.533
0.26967638833399915,0.53
0.2716739912105473,0.53
0.27367159408709546,0.53
0.2756691969636436,0.526
0.27766679984019177,0.523
0.27966440271673987,0.523
0.281662005593288,0.524
0.2836596084698362,0.525
0.28565721134638433,0.521
0.28765481422293243,0.519
0.2896524170994806,0.522
0.29165001997602874,0.521
0.2936476228525769,0.519
0.295645225729125,0.518
0.29764282860567315,0.52
0.2996404314822213,0.522
0.30163803435876946,0.519
0.3036356372353176,0.519
0.3056332401118657,0.52
0.30763084298841387,0.52
0.309628445864962,0.523
0.3116260487415102,0.525
0.3136236516180583,0.526
0.31562125449460643,0.526
0.3176188573711546,0.527
0.31961646024770274,0.532
0.3216140631242509,0.53
0.323611666000799,0.527
0.32560926887734715,0.527
0.3276068717538953,0.53
0.32960447463044346,0.533
0.33160207750699155,0.532
0.3335996803835397,0.53
0.33559728326008786,0.529
0.337594886136636,0.533
0.3395924890131841,0.534
0.3415900918897323,0.534
0.3435876947662804,0.539
0.3455852976428286,0.542
0.34758290051937674,0.54
0.34958050339592484,0.541
