Time,III
0.0,-1.179
0.001997602876548142,-1.177
0.003995205753096284,-1.175
0.005992808629644426,-1.175
0.007990411506192568,-1.179
0.00998801438274071,-1.183
0.011985617259288851,-1.185
0.013983220135836994,-1.183
0.015980823012385136,-1.182
0.017978425888933277,-1.179
0.01997602876548142,-1.179
0.021973631642029562,-1.179
0.023971234518577703,-1.175
0.025968837395125847,-1.181
0.027966440271673988,-1.181
0.02996404314822213,-1.177
0.03196164602477027,-1.179
0.03395924890131841,-1.177
0.035956851777866554,-1.178
0.0379544546544147,-1.175
0.03995205753096284,-1.173
0.04194966040751098,-1.176
0.043947263284059124,-1.175
0.045944866160607264,-1.174
0.047942469037155405,-1.172
0.04994007191370355,-1.169
0.051937674790251694,-1.169
0.053935277666799834,-1.17
0.055932880543347975,-1.169
0.057930483419896116,-1.168
0.05992808629644426,-1.168
0.061925689172992404,-1.167
0.06392329204954054,-1.171
0.06592089492608869,-1.171
0.06791849780263683,-1.171
0.06991610067918497,-1.169
0.07191370355573311,-1.165
0.07391130643228125,-1.163
0.0759089093088294,-1.159
0.07790651218537754,-1.151
0.07990411506192568,-1.149
0.08190171793847383,-1.149
0.08389932081502197,-1.153
0.0858969236915701,-1.153
0.08789452656811825,-1.143
0.08989212944466639,-1.139
0.09188973232121453,-1.147
0.09388733519776267,-1.151
0.09588493807431081,-1.147
0.09788254095085897,-1.143
0.0998801438274071,-1.145
0.10187774670395525,-1.148
0.10387534958050339,-1.145
0.10587295245705153,-1.146
0.10787055533359967,-1.146
0.10986815821014781,-1.145
0.11186576108669595,-1.147
0.11386336396324409,-1.143
0.11586096683979223,-1.137
0.11785856971634039,-1.136
0.11985617259288853,-1.135
0.12185377546943667,-1.137
0.12385137834598481,-1.139
0.12584898122253294,-1.137
0.1278465840990811,-1.136
0.12984418697562924,-1.132
0.13184178985217737,-1.133
0.13383939272872553,-1.133
0.13583699560527365,-1.133
0.1378345984818218,-1.133
0.13983220135836993,-1.13
0.1418298042349181,-1.125
0.14382740711146622,-1.123
0.14582500998801437,-1.125
0.1478226128645625,-1.125
0.14982021574111065,-1.123
0.1518178186176588,-1.121
0.15381542149420693,-1.121
0.1558130243707551,-1.119
0.15781062724730321,-1.11
0.15980823012385137,-1.107
0.1618058330003995,-1.107
0.16380343587694765,-1.105
0.16580103875349578,-1.105
0.16779864163004393,-1.098
0.16979624450659206,-1.092
0.1717938473831402,-1.091
0.17379145025968837,-1.089
0.1757890531362365,-1.087
0.17778665601278465,-1.084
0.17978425888933278,-1.081
0.18178186176588093,-1.076
0.18377946464242906,-1.069
0.1857770675189772,-1.067
0.18777467039552534,-1.065
0.1897722732720735,-1.061
0.19176987614862162,-1.06
0.19376747902516978,-1.058
0.19576508190171793,-1.051
0.19776268477826606,-1.048
0.1997602876548142,-1.048
0.20175789053136234,-1.04
0.2037554934079105,-1.034
0.20575309628445862,-1.034
0.20775069916100677,-1.031
0.2097483020375549,-1.029
0.21174590491410306,-1.024
0.2137435077906512,-1.02
0.21574111066719934,-1.018
0.2177387135437475,-1.014
0.21973631642029562,-1.01
0.22173391929684377,-1.01
0.2237315221733919,-1.008
0.22572912504994005,-1.006
0.22772672792648818,-1.001
0.22972433080303634,-0.994
0.23172193367958446,-0.994
0.23371953655613262,-0.991
0.23571713943268077,-0.99
0.2377147423092289,-0.986
0.23971234518577705,-0.984
0.24170994806232518,-0.985
0.24370755093887334,-0.979
0.24570515381542146,-0.975
0.24770275669196962,-0.974
0.24970035956851774,-0.971
0.25169796244506587,-0.965
0.253695565321614,-0.955
0.2556931681981622,-0.957
0.25769077107471033,-0.955
0.2596883739512585,-0.951
0.2616859768278066,-0.956
0.26368357970435474,-0.955
0.2656811825809029,-0.949
0.26767878545745105,-0.949
0.26967638833399915,-0.945
0.2716739912105473,-0.942
0.27367159408709546,-0.939
0.2756691969636436,-0.934
0.27766679984019177,-0.931
0.27966440271673987,-0.928
0.281662005593288,-0.927
0.2836596084698362,-0.928
0.28565721134638433,-0.924
0.28765481422293243,-0.92
0.2896524170994806,-0.926
0.29165001997602874,-0.925
0.2936476228525769,-0.924
0.295645225729125,-0.924
0.29764282860567315,-0.927
0.2996404314822213,-0.932
0.30163803435876946,-0.929
0.3036356372353176,-0.931
0.3056332401118657,-0.935
0.30763084298841387,-0.938
0.309628445864962,-0.944
0.3116260487415102,-0.948
0.3136236516180583,-0.951
0.31562125449460643,-0.955
0.3176188573711546,-0.958
0.31961646024770274,-0.964
0.3216140631242509,-0.965
0.323611666000799,-0.967
0.32560926887734715,-0.974
0.3276068717538953,-0.982
0.32960447463044346,-0.986
0.33160207750699155,-0.988
0.3335996803835397,-0.99
0.33559728326008786,-0.993
0.337594886136636,-0.999
0.3395924890131841,-1.006
0.3415900918897323,-1.01
