Time,V3
0.0,0.573
0.001997602876548142,0.574
0.003995205753096284,0.576
0.005992808629644426,0.576
0.007990411506192568,0.577
0.00998801438274071,0.581
0.011985617259288851,0.583
0.013983220135836994,0.581
0.015980823012385136,0.583
0.017978425888933277,0.586
0.01997602876548142,0.588
0.021973631642029562,0.591
0.023971234518577703,0.591
0.025968837395125847,0.595
0.027966440271673988,0.595
0.02996404314822213,0.597
0.03196164602477027,0.6
0.03395924890131841,0.599
0.035956851777866554,0.603
0.0379544546544147,0.604
0.03995205753096284,0.606
0.04194966040751098,0.608
0.043947263284059124,0.606
0.045944866160607264,0.609
0.047942469037155405,0.609
0.04994007191370355,0.613
0.051937674790251694,0.617
0.053935277666799834,0.617
0.055932880543347975,0.623
0.057930483419896116,0.622
0.05992808629644426,0.625
0.061925689172992404,0.628
0.06392329204954054,0.626
0.06592089492608869,0.631
0.06791849780263683,0.634
0.06991610067918497,0.636
0.07191370355573311,0.639
0.07391130643228125,0.641
0.0759089093088294,0.643
0.07790651218537754,0.643
0.07990411506192568,0.644
0.08190171793847383,0.645
0.08389932081502197,0.649
0.0858969236915701,0.652
0.08789452656811825,0.653
0.08989212944466639,0.653
0.09188973232121453,0.66
0.09388733519776267,0.665
0.09588493807431081,0.667
0.09788254095085897,0.671
0.0998801438274071,0.673
0.10187774670395525,0.675
0.10387534958050339,0.677
0.10587295245705153,0.684
0.10787055533359967,0.689
0.10986815821014781,0.691
0.11186576108669595,0.695
0.11386336396324409,0.696
0.11586096683979223,0.699
0.11785856971634039,0.703
0.11985617259288853,0.708
0.12185377546943667,0.713
0.12385137834598481,0.717
0.12584898122253294,0.722
0.1278465840990811,0.726
0.12984418697562924,0.729
0.13184178985217737,0.735
0.13383939272872553,0.739
0.13583699560527365,0.742
0.1378345984818218,0.747
0.13983220135836993,0.75
0.1418298042349181,0.755
0.14382740711146622,0.762
0.14582500998801437,0.766
0.1478226128645625,0.772
0.14982021574111065,0.777
0.1518178186176588,0.782
0.15381542149420693,0.787
0.1558130243707551,0.791
0.15781062724730321,0.796
0.15980823012385137,0.801
0.1618058330003995,0.806
0.16380343587694765,0.811
0.16580103875349578,0.814
0.16779864163004393,0.819
0.16979624450659206,0.827
0.1717938473831402,0.832
0.17379145025968837,0.837
0.1757890531362365,0.84
0.17778665601278465,0.845
0.17978425888933278,0.85
0.18178186176588093,0.854
0.18377946464242906,0.861
0.1857770675189772,0.868
0.18777467039552534,0.871
0.1897722732720735,0.876
0.19176987614862162,0.882
0.19376747902516978,0.887
0.19576508190171793,0.892
0.19776268477826606,0.896
0.1997602876548142,0.898
0.20175789053136234,0.9
0.2037554934079105,0.904
0.20575309628445862,0.909
0.20775069916100677,0.912
0.2097483020375549,0.918
0.21174590491410306,0.923
0.2137435077906512,0.927
0.21574111066719934,0.931
0.2177387135437475,0.933
0.21973631642029562,0.938
0.22173391929684377,0.941
0.2237315221733919,0.944
0.22572912504994005,0.95
0.22772672792648818,0.953
0.22972433080303634,0.955
0.23172193367958446,0.955
0.23371953655613262,0.958
0.23571713943268077,0.959
0.2377147423092289,0.961
0.23971234518577705,0.962
0.24170994806232518,0.963
0.24370755093887334,0.964
0.24570515381542146,0.962
0.24770275669196962,0.962
0.24970035956851774,0.962
0.25169796244506587,0.963
0.253695565321614,0.962
0.2556931681981622,0.962
0.25769077107471033,0.959
0.2596883739512585,0.958
0.2616859768278066,0.959
0.26368357970435474,0.956
0.2656811825809029,0.956
0.26767878545745105,0.954
0.26967638833399915,0.952
0.2716739912105473,0.951
0.27367159408709546,0.949
0.2756691969636436,0.945
0.27766679984019177,0.943
0.27966440271673987,0.94
0.281662005593288,0.933
0.2836596084698362,0.929
0.28565721134638433,0.926
0.28765481422293243,0.922
0.2896524170994806,0.919
0.29165001997602874,0.913
0.2936476228525769,0.908
0.295645225729125,0.903
0.29764282860567315,0.895
0.2996404314822213,0.89
0.30163803435876946,0.885
0.3036356372353176,0.878
0.3056332401118657,0.873
0.30763084298841387,0.864
0.309628445864962,0.858
0.3116260487415102,0.852
0.3136236516180583,0.844
0.31562125449460643,0.836
0.3176188573711546,0.826
0.31961646024770274,0.817
0.3216140631242509,0.809
0.323611666000799,0.798
0.32560926887734715,0.788
0.3276068717538953,0.783
0.32960447463044346,0.776
0.33160207750699155,0.764
0.3335996803835397,0.755
0.33559728326008786,0.748
0.337594886136636,0.737
0.3395924890131841,0.728
0.3415900918897323,0.72
0.3435876947662804,0.713
0.3455852976428286,0.707
0.34758290051937674,0.699
0.34958050339592484,0.691
0.351578106272473,0.682
0.35357570914902114,0.674
0.3555733120255693,0.667
0.3575709149021174,0.66
0.35956851777866555,0.65
0.3615661206552137,0.645
0.36356372353176186,0.638
0.36556132640831,0.63
0.3675589292848581,0.626
0.36955653216140627,0.619
0.3715541350379544,0.614
0.3735517379145026,0.609
0.3755493407910507,0.605
0.37754694366759883,0.599
0.379544546544147,0.595
0.38154214942069514,0.591
0.38353975229724324,0.586
0.3855373551737914,0.583
0.38753495805033955,0.577
0.3895325609268877,0.575
0.39153016380343586,0.573
